AACG:1,6797222222222221
AACI:9,845446428571432
AACIW:0
AADI:20,722416694444448
AAL:17,607916597222218
AAME:3,2550000000000003
AAOI:4,415333333333332
AAON:63,03013879166666
AAPL:156,84125045833332
AATC:6,476527777777779
AAWW:78,39749961111112
ABCB:47,59999988888889
ABCL:12,159611166666668
ABCM:18,337305583333332
ABEO:12,55236111111111
ABGI:9,763638888888892
ABIO:2,4173611111111106
ABMD:308,7572510833334
ABNB:149,87437475
ABOS:7,962027763888892
ABSI:8,938930555555551
ABST:9,378888888888891
ABTX:0
ABUS:3,185972222222222
ABVC:2,400125
ACABU:10,014166666666666
ACAD:19,800972069444438
ACAH:9,768361111111112
ACAXU:10,05
ACB:4,529291666666669
ACBA:10,164027777777777
ACBAU:10,464444444444446
